,Beta,ROI,Subj,Condition,Volume
589,0.0194665,FFA,503,Ho,2
590,0.0542601,FFA,503,Ho,3
591,0.118794,FFA,503,Ho,4
592,0.22663,FFA,503,Ho,5
593,0.241243,FFA,503,Ho,6
594,0.283609,FFA,503,Ho,7
595,0.281016,FFA,503,Ho,8
596,0.291852,FFA,503,Ho,9
597,0.250531,FFA,503,Ho,10
598,0.254574,FFA,503,Ho,11
599,0.255701,FFA,503,Ho,12
600,0.199784,FFA,503,Ho,13
601,0.214768,FFA,503,Ho,14
602,0.249489,FFA,503,Ho,15
603,0.243878,FFA,503,Ho,16
604,0.10033,FFA,503,Ho,17
605,0.0913085,FFA,503,Ho,18
606,-0.00715014,FFA,503,Ho,19
607,0.0167402,FFA,503,Ho,20
608,0.0958052,FFA,503,Ho,21
609,-0.161941,FFA,503,Hp,1
610,-0.0603841,FFA,503,Hp,2
611,0.0282242,FFA,503,Hp,3
612,0.096918,FFA,503,Hp,4
613,0.16702,FFA,503,Hp,5
614,0.218189,FFA,503,Hp,6
615,0.175218,FFA,503,Hp,7
616,0.192224,FFA,503,Hp,8
617,0.192628,FFA,503,Hp,9
618,0.154308,FFA,503,Hp,10
619,0.165281,FFA,503,Hp,11
620,0.20329,FFA,503,Hp,12
621,0.210752,FFA,503,Hp,13
622,0.228502,FFA,503,Hp,14
623,0.20505,FFA,503,Hp,15
624,0.0707752,FFA,503,Hp,16
625,0.0942888,FFA,503,Hp,17
626,0.083215,FFA,503,Hp,18
627,-0.00489564,FFA,503,Hp,19
628,-0.0520506,FFA,503,Hp,20
629,-0.0112575,FFA,503,Hp,21
630,-0.102188,PPA,503,FH,1
631,-0.0717409,PPA,503,FH,2
632,-0.0495785,PPA,503,FH,3
633,0.103788,PPA,503,FH,4
634,-0.0998982,PPA,503,FH,5
635,-0.10062,PPA,503,FH,6
636,-0.164033,PPA,503,FH,7
637,-0.0600533,PPA,503,FH,8
638,-0.073119,PPA,503,FH,9
639,-0.0427187,PPA,503,FH,10
640,-0.0697471,PPA,503,FH,11
641,-0.0935917,PPA,503,FH,12
642,-0.0760448,PPA,503,FH,13
643,-0.128228,PPA,503,FH,14
644,-0.0103276,PPA,503,FH,15
645,0.026166,PPA,503,FH,16
646,0.0662167,PPA,503,FH,17
647,-0.0612757,PPA,503,FH,18
648,0.0449169,PPA,503,FH,19
649,-0.0584459,PPA,503,FH,20
650,0.0794494,PPA,503,FH,21
651,-0.192542,PPA,503,Fo,1
652,-0.00994882,PPA,503,Fo,2
653,-0.00549268,PPA,503,Fo,3
654,-0.00985607,PPA,503,Fo,4
655,-0.138976,PPA,503,Fo,5
656,-0.172374,PPA,503,Fo,6
657,-0.0778889,PPA,503,Fo,7
658,-0.110428,PPA,503,Fo,8
659,-0.124906,PPA,503,Fo,9
660,-0.176979,PPA,503,Fo,10
661,-0.191828,PPA,503,Fo,11
662,-0.142611,PPA,503,Fo,12
663,-0.109899,PPA,503,Fo,13
664,-0.073055,PPA,503,Fo,14
