,Time,Subject,Condition,MotorMapping,Run,FFA,PPA,RH,LH
294,91,503,FH,2,1,-0.558966,-0.18236,0.133871,0.128381
295,92,503,FH,2,1,-0.0333798,0.18711,-0.0148927,0.600781
296,93,503,FH,2,1,-1.34445,0.4701,-0.0385482,-0.186443
297,94,503,FH,2,1,0.206203,-0.278219,0.0144153,0.194168
298,95,503,FH,2,1,0.322255,0.242741,0.126023,0.441335
299,96,503,FH,2,1,0.133474,-0.353995,0.0340083,-0.287199
300,97,503,FH,2,1,0.0899122,0.236892,0.200721,0.372999
301,98,503,FH,2,1,0.63391,-0.383592,0.123928,-0.361886
302,99,503,FH,2,1,1.3864,-0.338589,0.211421,-0.0122479
303,100,503,FH,2,1,1.55511,0.033141,-0.249612,-0.0654754
304,101,503,FH,2,1,0.342079,-0.475028,0.180886,0.233893
305,102,503,FH,2,1,-0.378042,0.121071,0.171203,-0.216051
306,1,503,FH,2,2,2.17906,-0.284879,-0.524286,0.0351157
307,2,503,FH,2,2,0.0871019,0.247908,-0.354431,-0.272254
308,3,503,FH,2,2,-0.164317,0.00407428,0.462617,0.236633
309,4,503,FH,2,2,-0.767189,-0.418283,1.28623,0.729498
310,5,503,FH,2,2,-0.781916,-0.142266,0.51793,0.0638768
311,6,503,FH,2,2,0.590216,0.343955,0.029858,-0.384177
312,7,503,FH,2,2,0.575772,0.277814,-0.327461,-0.180881
313,8,503,FH,2,2,1.45461,0.16935,-0.275218,-0.48163
314,9,503,FH,2,2,1.51397,0.609065,-0.426267,-0.374813
315,10,503,FH,2,2,0.309647,0.291655,-0.501329,-0.0185323
316,11,503,FH,2,2,0.177333,0.109346,0.0410191,0.320124
317,12,503,FH,2,2,-0.171592,0.211007,-0.18135,0.325429
318,13,503,FH,2,2,0.235792,-0.360738,-0.268953,0.326646
319,14,503,FH,2,2,0.902004,0.188708,-0.795579,-0.244641
320,15,503,FH,2,2,1.195,0.36014,-0.0851315,-0.151566
321,16,503,FH,2,2,-1.24879,-0.365634,-0.295158,-0.410062
322,17,503,FH,2,2,-1.13475,-0.23834,0.703811,0.0406238
323,18,503,FH,2,2,-0.575496,0.264576,0.401514,0.177857
324,19,503,FH,2,2,-0.794068,0.0482611,0.545808,0.0505455
